Name,City,Phone,Website,Address,Under 36mo,Preschool,School Age,Mandarin,Cantonese,CCFRI
Neverland Children's Centre,Delta,604-940-4131,,"3900 Arthur Dr, Delta, BC V4K 3N5",,,,,,Y
New Children's Choice Daycare Inc,Delta,604-715-0782,,"11637 84 Ave, Delta, BC V4C 2M2",,,,,,Y
North Delta Daycare,Delta,604-596-5747,,"11881 72 Ave, Delta, BC V4E 1Z5",,,,,,Y
North Delta Recreation Centre,Delta,604-952-3054,,"11415 84Th Ave, Delta, BC V4C 2L9",,,,,,Y
One World Childcare Center,Delta,604-726-0404,,"7655 120Th St, Delta, BC V4C 6P6",,,,,,Y
Pinewood Leisure Centre,Delta,604-952-3054,,"11777 Pinewood Dr, Delta, BC V4E 3E9",,,,,,Y
Playing Pebbles Daycare Inc.,Delta,778-927-4411,,"7600 116 St, Delta, BC V4C 5T3",,,,,,Y
Power House Junior Kindergarten Ltd.,Delta,604-417-0128,,"A - 7035 120Th St, Delta, BC V4E 2A9",,,,,,Y
Reach Development Preschool South Delta,Delta,604-946-6622,,"5050 47 Ave, Delta, BC V4K 0C8",,Y,,,,Y
Reach Developmental Preschool North Delta,Delta,604-946-6622,,"11415 84Th Ave Delta, Delta, BC V4C 2L9",,Y,,,,Y
Right Choice Daycare Centre,Delta,604-813-0980,,"7450 116 St, Delta, BC V4C 5T2",,,,,,Y
Sandpiper,Delta,236-883-1234,,"5955 17A Ave, Delta, BC V4L 1J7",,Y,Y,,,Y
Sapphire Montessori Academia Inc,Delta,604-999-8162,,"11315 75 Ave, Delta, BC V4C 1H4",,,,,,Y
Seven Senses Nature Learning School,Delta,778-898-0103,,"5431 5B Ave, Delta, BC V4M 1K6",Y,Y,,,,Y
Sharon's Family Child Care,Delta,604-765-7728,,"7815 117 St, Delta, BC V4C 6A7",Y,Y,,,,Y
Smiley Faces Childcare Centre #3,Delta,604-543-1488,,"10855 80 Ave, Delta, BC V4C 1W4",,,,,,Y
South Delta Recreation Centre,Delta,604-952-3054,,"1720 56 St, Delta, BC V4L 2B1",,,,,,Y
South Delta Wee Acorn Academy,Delta,604-218-7607,,"5624 Ladner Trunk Rd, Delta, BC V4K 1X4",,,,,,Y
South Delta Wee Childcare Inc,Delta,778-995-5985,,"4750 57 St, Delta, BC V4K 3C9",,,,,,Y
South Delta Wee Clubhouse,Delta,604-376-3443,,"4737 57 St, Delta, BC V4K 4C7",,,,,,Y
Sprouts Early Learning,Delta,604-649-3675,,"5300 44Th Ave, Delta, BC V4K 1C7",,,,,,Y
Sunny Town Childcare North,Delta,778-999-1015,,"1631 56 St, Delta, BC V4L 2B2",,,,,,Y
Sunny Town Learn And Play Childcare Centre,Delta,778-999-1015,,"693 53 St, Delta, BC V4M 3B6",,,,,,Y
Sunshine Hills Family Daycare,Delta,604-908-2549,,"6733 Nicholson Rd, Delta, BC V4E 2T2",,,,,,Y
Sunshine Hills Kids Corner,Delta,604-446-0109,,"11057 Westridge Pl, Delta, BC V4E 2N5",,,,,,Y
Sunshine Hills Parent Participation,Delta,604-596-2515,,"6750 Carncross Cres, Delta, BC V4E 2L5",,,,,,Y
Sunshine Kids Childcare,Delta,778-710-3737,,"8552 112 St, Delta, BC V4C 4W9",Y,Y,Y,,,Y
Taylin Child Care Arthur Dr,Delta,604-349-4066,,"4755 Arthur Dr, Delta, BC V4K 2X6",,,,,,Y
The Rainbow Connection Children's Centre At Pebble Hill,Delta,604-250-3480,,"246 52A St, Delta, BC V4M 2Z8",,,,,,Y
The Sunshine Hills Multi-Age Child Care,Delta,604-723-9578,,"6417 Lyon Rd, Delta, BC V4E 1H6",,,,,,Y
The Yellow Door Daycare,Delta,604-813-5224,,"6053 48A Ave, Delta, BC V4K 1Y7",,,,,,Y
Tic Tac Toe Daycare,Delta,778-898-4742,,"11277 87A Ave, Delta, BC V4C 3A7",,,,,,Y
Tina's Tiny Tots Daycare,Delta,604-803-5020,,"6147 49 Ave, Delta, BC V4K 4X2",,,,,,Y
Tiny Roots Daycare,Delta,778-855-3736,,"9468 119 St, Delta, BC V4C 6M6",,,,,,Y
Tot Spot Childcare,Delta,778-999-6970,,"11505 Pemberton Cres, Delta, BC V4C 3J5",Y,Y,Y,,,Y
Tots And Tales,Delta,778-707-7876,www.totsandtales.ca,"8860 118 St, Delta, BC V4C 6H7",Y,Y,,,,Y
Tracy's Childcare Centre,Delta,604-216-0266,,"7692 118 St, Delta, BC V4C 6G8",,,,,,Y
Tracy's Tots,Delta,604-588-0699,,"11662 94 Ave, Delta, BC V4C 3R6",,,,,,Y
Tree Of Life Childcare,Delta,604-446-6171,,"4381 46A St, Delta, BC V4K 2M2",,,,,,Y
Tsawwassen Lf Preschool Ltd,Delta,604-202-4711,,"5025 12 Ave, Delta, BC V4M 2A7",,Y,,,,Y
Valuable Kidz Daycare,Delta,604-807-4900,,"11638 75A Ave, Delta, BC V4C 1J4",,,,,,Y
Wee Bairns,Delta,604-943-4786,,"1030 52A St, Delta, BC V4M 3A5",Y,Y,,,,Y
Willowbrae Academy Delta,Delta,604-832-8093,,"8375 120Th St, Delta, BC V4C 6R1",Y,Y,,,,Y
Wind And Tide - Ladner (Lcr),Delta,604-575-0549,,"4594 54A St, Delta, BC V4K 2Z8",,,,,,Y
Wind And Tide - Tsawwassen,Delta,604-575-0549,,"5575 6 Ave, Delta, BC V4M 1M2",,,,,,Y
Young Explorers Childcare,Delta,604-767-6949,,"8141 118A St, Delta, BC V4C 7Z1",,,,,,Y
Young Riders Childcare,Delta,778-999-1949,,"115-1077 56 St, Delta, BC V4L 2A2",Y,Y,,Y,Y,Y
5 Star Learning Centre,Langley,604-812-4838,,"7096 201 St, Langley, BC V2Y 3G7",,,,,,Y
5 Steps Childcare,Langley,647-821-5512,,"4084 207A St, Langley, BC V3A 2G6",,,,,,Y
A B Children Family Daycare,Langley,778-829-5905,,"7857 211B St, Langley, BC V2Y 0H5",,,,,,Y
Apple'kins Childcare,Langley,604-514-8486,,"23110 16 Ave, Langley, BC V2Z 1K7",,,,,,Y
At Play Child Care,Langley,604-226-7972,,"21501 Telegraph Trail, Langley, BC V1M 2K7",Y,Y,Y,,,Y
B Kids Daycare Langley,Langley,778-773-4990,,"109-110 - 20631 Fraser Hwy, Langley, BC V3A 4G4",,,,,,Y
B Kids Daycare Langley,Langley,778-773-4990,,"101 - 20633 Fraser Hwy, Langley, BC V3A 4G4",,,,,,Y
Bamboo House Montessori Childcare,Langley,778-558-9097,,"20464 90 Cres, Langley, BC V1M 1A7",,,,,,Y
Bee Yourself Childcare,Langley,604-619-9711,,"20555 56Th Ave, Langley, BC V3A 3Y9",,,,,,Y
Bee Yourself Childcare Junior,Langley,604-619-9711,,"20609 Logan Ave, Langley, BC V3A 7R3",,,,,,Y
Beyond Elements Childcare Ltd.,Langley,778-863-4641,,"5673 200Th St, Langley, BC V3A 1M7",,,,,,Y
Big Smiles Early Learning Centre,Langley,236-777-4247,,"19654 47 Ave, Langley, BC V3A 5G8",Y,Y,Y,,,Y
Blessings Miracles Daycare Centre Ltd.,Langley,778-863-5511,,"4041 200B St, Langley, BC V3A 1P1",Y,Y,,,,Y
Blooming Butterflies Daycare,Langley,604-723-5508,,"4841 201A St, Langley, BC V3A 0H1",,,,,,Y
Blossom Buddies Daycare,Langley,778-996-5244,,"8069 203 St, Langley, BC V2Y 3W8",,,,,,Y
Blue Butterfly Childcare,Langley,778-233-9244,,"9191 213Th St, Langley, BC V1M 1L2",Y,Y,,,,Y
Brainbox Montessori Learning Academy,Langley,778-957-6588,,"20700 56 Ave, Langley, BC V3A 7R8",,,,,,Y
Brainbox Montessori Learning Academy,Langley,778-957-6588,,"20688 56 Ave, Langley, BC V3A 3Z1",,,,,,Y
Brave Spaces Early Learning Commons,Langley,604-514-1000,,"22756 48 Ave, Langley, BC V2Z 2T6",,,,,,Y
Bright Angels Children's Centre Ii,Langley,604-599-1943,,"21176 Yeoman's Cres, Langley, BC V1M 2P7",,,,,,Y
Bright Cubs Childcare,Langley,778-708-5881,,"19681 31A Ave, Langley, BC V2Z 0B2",,,,,,
Bright Star Multiage Child Day Care,Langley,604-618-8671,,"19918 73A Ave, Langley, BC V2Y 3J3",,,,,,Y
Brookswood Kids Place Inc.,Langley,604-530-3391,,"20390 40Th Ave, Langley, BC V3A 2X1",,,,,,Y
Building Blocks Learning Centre,Langley,604-613-7910,,"9060 212Th St, Langley, BC V1M 2B7",,,,,,Y
Buttons 'N Bows Childcare Inc.,Langley,604-209-4340,,"20190 48 Ave, Langley, BC V3A 3L4",,,,,,Y
Cefa - Langley City Centre,Langley,604-306-1415,,"20121 Willowbrook Dr, Langley, BC V3A 5E6",,,,,,Y
Cefa Early Learning - Willowbrook,Langley,604-727-8842,,"20510 Langley Bypass, Langley, BC V3A 6K8",,,,,,Y
Cefa Walnut Grove,Langley,604-306-1415,,"100-19950 88 Ave, Langley, BC V1M 0A5",,,,,,Y
Champion Kids Learning Centre #2,Langley,778-321-8624,,"20478 Fraser Hwy, Langley, BC V3A 4G2",,,,,,Y
Champion Kids Learning Centre Inc,Langley,778-321-8624,,"20525 Fraser Hwy, Langley, BC V3A 4G3",,,,,,Y
Chapter One Childcare,Langley,236-978-9252,,"6654 Willoughby Way, Langley, BC V2Y 1K5",,,,,,Y
Chipmunk Achievers Preschool,Langley,604-888-5022,,"20025 91A Ave, Langley, BC V1M 3A2",,,,,,Y
Choo Sunflower Day Care,Langley,604-716-1472,,"19649 74A Ave, Langley, BC V2Y 3R8",Y,Y,Y,,,Y
Community Kids School Aged Care Inc,Langley,778-240-9858,,"20050 53Rd Ave, Langley, BC V3A 3T9",,,,,,Y
Cookie Monster Preschool-Timms,Langley,604-514-2865,,"20399 Douglas Cres, Langley, BC V3A 4B3",,,,,,Y
Country Bumkins Children's Centre - Richard Bulpitt,Langley,604-856-0979,,"20965 77A St, Langley, BC V2Y 2E6",,,,,,Y
Country Bumkins Children's Centre - Willoughby,Langley,604-881-9052,,"20766 80 Ave, Langley, BC V2Y 1X6",,,,,,Y
Creative Angels Daycare Centre,Langley,778-858-0242,,"21179 83B Ave, Langley, BC V2Y 0C3",,,,,,Y
Creative Kids Learning Centers - Langley Meadows,Langley,604-560-5002,,"101-19916 64 Ave, Langley, BC V2Y 1A2",,,,,,Y
Creative Moments Childcare Centre,Langley,604-417-1135,,"20178 72Nd Ave, Langley, BC V2Y 1S5",,,,,,Y
Curiosity Grove - Walnut Grove,Langley,604-532-3540,,"8889 Walnut Grove Dr, Langley, BC V1M 2N7",,,,,,Y
Curious Cubs Childcare Centre,Langley,604-352-5511,,"9306 208 St, Langley, BC V1M 2Y9",,,,,,Y
Discovery Station Preschool,Langley,604-533-5881,,"20097 72 Ave, Langley, BC V2Y 1S7",,,,,,Y
Donna Gabriel Robins Jb4,Langley,604-614-3284,,"7844 204B St, Langley, BC V2Y 3N9",,,,,,Y
Doulgas Park Early Learning Care,Langley,778-241-0568,,"5409 206 St, Langley, BC V3A 2C5",,,,,,Y
Dream Cuddles,Langley,587-215-1926,,"8850 213A Pl, Langley, BC V1M 2H9",,,,,,Y
Dreamland Kids,Langley,587-580-8666,,"7453 197 St, Langley, BC V2Y 3R6",,,,,,Y
Duckie View Daycare,Langley,778-873-8573,,"7361 200A St, Langley, BC V2Y 3G5",Y,Y,Y,,,Y
Early Leaders Academy,Langley,604-445-8044,,"19638 76B Ave, Langley, BC V2Y 3T4",Y,Y,,,,Y
Ecel (Langley),Langley,604-510-8486,,"20279 56 Ave, Langley, BC V3A 3Y6",,,,,,Y
Encompass Bright Beginnings Childcare Centre,Langley,604-534-7155,,"A-21405 56 Ave, Langley, BC V2Y 2N1",,,,,,
Excellence Children's Academy,Langley,604-825-5512,,"3209 197 St, Langley, BC V3A 0N9",,,,,,Y
Flora's Family Child Care,Langley,306-203-9088,,"20145 71A Ave, Langley, BC V2Y 3A1",,Y,Y,,,Y
Flying Kites Child Care Center - Wix Brown,Langley,604-308-1446,,"23851 24Th Ave, Langley, BC V2Z 3A3",,,,,,Y
Forest Cubs Childcare,Langley,647-864-1234,,"20467 90 Cres, Langley, BC V1M 1A7",,,,,,Y
Fox Ridge Child Care,Langley,778-800-8382,,"20349 82A Ave, Langley, BC V2Y 0S3",Y,Y,,,,Y
Foxglove School Age Care,Langley,604-786-6985,,"20011 44 Ave, Langley, BC V3A 6L8",,,,,,Y
Friendz At Five Corners,Langley,604-788-2892,,"21562 Old Yale Rd, Langley, BC V3A 4M8",,,,,,Y
Garderie Les Aventuriers,Langley,604-736-5056,,"8736 216 St, Langley, BC V1M 2X9",Y,Y,Y,,,Y
Giggles And Growth Multi-Age Childcare,Langley,778-885-7263,,"21237 95A Ave, Langley, BC V1M 1N4",,,,,,Y
Global Montessori Learning Center,Langley,604-534-1556,,"19785 55 A Ave, Langley, BC V3A 3X1",,,,,,Y
Growing Tree It Center,Langley,778-246-2234,,"20426 77A Ave, Langley, BC V2Y 4K3",,,,,,Y
Growing Tree Toddler Center,Langley,778-246-2234,,"7759 204A St, Langley, BC V2Y 4K3",Y,,,,,Y
Happy Little Bunnies,Langley,778-680-4611,,"20936 80B Avenue, Langley, BC V2Y 0R2",Y,,,,,Y
Happyland Early Learning Centre,Langley,604-882-1611,,"201-20165 91A Ave, Langley, BC V1M 3A2",,,,,,Y
Happyland Early Learning Centre Cineplex,Langley,778-995-6997,,"F-20090 91A Ave, Langley, BC V1M 3Y9",,,,,,Y
Headstart Childcare Inc.,Langley,604-888-0662,,"21020 83 Ave, Langley, BC V2Y 0K8",,,,,,Y
Highland Meadows Day Care,Langley,604-888-1030,,"8286  197Th St, Langley, BC V2Y 1Z1",,Y,,,,Y
Hill View Early Learning Center,Langley,604-765-7894,,"7423 197 St, Langley, BC V2Y 3R6",,,,,,Y
Holistic Roots Childcare Centre,Langley,604-532-7977,,"102-5844 Glover Rd, Langley, BC V3A 4H9",,,,,,Y
I Kids+ Learning Centre,Langley,778-855-1425,,"21003 76A Ave, Langley, BC V2Y 0L1",,,,,,Y
Ideal Child Care Center,Langley,604-302-6775,IDEALCHILDCARE.CA,"6880 208 St, Langley, BC V2Y 0G2",,,,,,Y
Illumine Learning Centre - Langley,Langley,604-318-9101,,"20901 83 Ave, Langley, BC V2Y 0W8",Y,Y,Y,,,Y
Jellybean Park,Langley,604-539-9898,,"138B-19653 Willowbrook Dr, Langley, BC V2Y 1A5",,,,,,Y
Jellybean Park - Langley Campus,Langley,604-539-9898,,"2-19615 Willowbrook Dr, Langley, BC V2Y 1A5",,,,,,Y
Josette Dandurand Early Years Centre,Langley,604-807-1365,,"20143 - 82Nd Ave, Langley, BC V2Y 2A5",,,,,,
Joyful Lambs Daycare,Langley,250-884-5332,,"6995 202B St, Langley, BC V2Y 2Z6",Y,,,Y,Y,Y
Joyful Movement Childcare,Langley,604-828-3703,,"8129 202 St, Langley, BC V2Y 3K2",,,,,,Y
Joyful Ocean Academy,Langley,604-828-3703,,"20409 83B Ave, Langley, BC V2Y 0R6",,Y,,,,Y
Khalsa Child Care Centre,Langley,604-594-0553,,"26345 62 Ave, Langley, BC V4W 1L8",,,,,,Y
Kid Central,Langley,604-376-5548,,"6982 201 St, Langley, BC V2Y 2Z8",,,,,,Y
Kid'n Around Childrens Centre,Langley,604-533-3757,,"20997 40 Ave, Langley, BC V3A 8N9",,,,,,Y
Kiddie Kollege Langley,Langley,604-530-0311,,"20103 53 Ave, Langley, BC V3A 3T8",,,,,,Y
Kiddie Korner Family Day Care - Langley,Langley,604-649-7085,,"8503 211A St, Langley, BC V1M 2L6",Y,Y,,,,Y
Kids + Company Langley,Langley,416-938-8024,,"8506 200Th St, Langley, BC V2Y 0M1",,,,,,Y
Kids Canvas Childcare,Langley,604-767-5558,,"7221 198B St, Langley, BC V2Y 1R9",,,,,,Y
Kids In The Grove Daycare (Topham),Langley,604-888-2713,,"21555 91 Ave, Langley, BC V1M 3Z3",,,,,,Y
Kids In The Grove Daycare (West Langley),Langley,604-882-2779,,"9403 212 St, Langley, BC V1M 1M1",,,,,,Y
Kids R Kool Childcare,Langley,604-318-0132,,"9175 206Th St, Langley, BC V1M 2X2",,,Y,,,Y
Kids World Day Care And Learning Centre,Langley,416-938-8024,,"6942 202B St, Langley, BC V2Y 1P7",,,,,,Y
Kidspace Learning Centres,Langley,604-300-7122,,"20084 37A Ave, Langley, BC V3A 6K4",,,,,,Y
Kidspace Learning Centres Walnut Grove,Langley,604-380-4060,,"501-21183 88Th Ave, Langley, BC V1M 2G5",,,,,,Y
Kidspace Learning Centres Walnut Grove-After School Club,Langley,604-380-4062,,"101-21183 88 Ave, Langley, BC V1M 2G5",,,,,,Y
Kings And Queens Child Care Center Inc.,Langley,778-394-1291,,"2940 272Nd St, Langley, BC V4W 3R4",,,,,,Y
Langley Forest School,Langley,604-888-8555,,"8870 Glover Rd, Langley, BC V1M 2R9",,,,,,Y
Langley Meadows Community Association Out Of School Program,Langley,604-644-0882,,"2244 Willoughby Way, Langley, BC V2Y 1C1",,,Y,,,Y
Langley Meadows Early Years Centre,Langley,604-807-1365,,"2244 Willoughby Way, Langley, BC V2Y 1C1",,,,,,Y
Lcs Early Learning Programs,Langley,604-533-2222,,"22930 48 Ave, Langley, BC V2Z 2T7",,,,,,Y
Learn N' Play North Langley,Langley,604-389-2049,,"2-9497 201 St, Langley, BC V1M 4A5",,,,,,Y
Lfas Care Center,Langley,604-880-7297,,"9096 Trattle St, Langley, BC V1M 2S3",,,,,,Y
Little Birds Academy Ltd.,Langley,778-394-3210,,"20257 Fraser Hwy, Langley, BC V3A 4E7",,,,,,Y
Little Bubble's Daycare,Langley,778-898-5100,,"2689 Wildwood Dr, Langley, BC V2Y 1G2",,,,,,Y
Little Dinosaurs Childcare,Langley,778-991-8196,,"19988 36A Ave, Langley, BC V3A 5M2",,,,,,Y
Little Elephant Montessori Centre,Langley,778-998-7053,,"8150 211 St, Langley, BC V2Y 0E4",,,,,,Y
Little Kinlings,Langley,778-954-8205,,"20243 43 Ave, Langley, BC V3A 3B9",Y,,,,,Y
Little Ladybug Daycare-Langley,Langley,604-968-9077,,"20867 44 Ave, Langley, BC V3A 5A9",,,,,,Y
Little Lambs Christian Montessori Children's House,Langley,778-908-8938,,"21811 52A Ave, Langley, BC V2Y 1L3",,Y,,Y,,Y
Little Otters Preschool,Langley,604-857-7550,,"5370 248Th St, Langley, BC V4W 1A7",,,,,,Y
Little Scholars Childcare,Langley,604-760-9031,,"20523 68 Ave, Langley, BC V2Y 3E2",Y,Y,Y,,,Y
Little Sketch Child Care,Langley,778-580-8566,,"8256 202 St, Langley, BC V2Y 0Y9",,,,,,Y
Little Wise Ones Preschool,Langley,604-533-6173,,"22200 Fraser Hwy, Langley, BC V3A 7T2",,,,,,Y
Love-It Care,Langley,604-514-4911,,"20131 69 Ave, Langley, BC V2Y 2Y2",,,Y,,,Y
Lovely Bee House Daycare,Langley,778-681-0863,,"21309 87B Ave, Langley, BC V1M 2A1",Y,Y,Y,Y,,Y
Loving Roots Childcare,Langley,604-996-3513,,"7080 208A St, Langley, BC V2Y 0J2",,,,,,Y
Magic Years Child Care Centre,Langley,778-898-7696,Magicyears.ca,"4107 204B St, Langley, BC V3A 1Z7",Y,Y,Y,,,Y
Margie's Family Childcare,Langley,604-513-8020,,"9224 204 St, Langley, BC V1M 1B7",Y,Y,Y,,,Y
Megan's Munchkins,Langley,604-534-2289,,"20701 51A Ave, Langley, BC V3A 7T3",,,,,,Y
Mindful Kids Childcare Center,Langley,778-637-0303,,"21209 93A Ave, Langley, BC V1M 1M5",,,,,,Y
Miss Vicki's Childcare Centre,Langley,778-998-0405,,"21150 80 Ave, Langley, BC V2Y 0H2",Y,,,Y,,Y
Morning Star Daycare,Langley,778-994-8775,http://morningstardaycare.ca,"7099 200A St, Langley, BC V2Y 2Z4",,,,,,Y
Murrayville Academy And Early Learning Centre,Langley,604-532-5667,,"21514 Old Yale Rd, Langley, BC V3A 4M8",,,,,,Y
Murrayville Academy Out Of School Care,Langley,604-533-5664,,"21488 Old Yale Rd, Langley, BC V3A 4M8",,,,,,Y
My Forest Daycare,Langley,778-713-0705,,"19654 73C Ave, Langley, BC V2Y 3R5",Y,,,,,Y
Ncs Child Care,Langley,236-989-9515,,"7861 211A St, Langley, BC V2Y 0H4",,,Y,Y,,Y
New Horizon Montessori School Ltd,Langley,604-552-7542,,"20338 91A Ave, Langley, BC V1M 2G2",,,,,,Y
New Path Child Care,Langley,778-885-2495,,"20084 Fernridge Cres, Langley, BC V2Z 1X4",Y,Y,Y,,,Y
Nicomekl Seamless Day,Langley,604-533-1469,,"20050 53 Ave, Langley, BC V3A 5T9",,,,,,Y
Noel Booth Child Care,Langley,604-218-6506,,"20202 35Th Ave, Langley, BC V2Z 1A2",,,,,,Y
Nurture & Grow Learning Center,Langley,604-779-1424,,"24497 Fraser Hwy, Langley, BC V2Z 2L2",Y,Y,,,,Y
Nurturing Hearts Montessori Daycare - James Hill,Langley,778-366-1885,,"22144 Old Yale Rd, Langley, BC V2Z 1B5",,,,,,Y
Nurturing Hearts Montessori Daycare - Newlands,Langley,604-533-1805,,"21025 48 Ave, Langley, BC V3A 3M3",,,,,,Y
One Of A Kind Family Day Care,Langley,778-878-1430,,"9243 206Th St, Langley, BC V1M 2W8",,,,,,Y
Parkview Academy Of Early Learning Inc.,Langley,778-689-6721,,"20955 Old Yale Rd, Langley, BC V3A 7P8",,,,,,Y
Pathway Montessori Children's Center,Langley,604-644-7547,,"9025 Glover Rd, Langley, BC V1M 2R7",,Y,,,,Y
Peanuts Family Daycare,Langley,604-534-5851,,"7140 196A St, Langley, BC V2Y 2Z9",,,,,,Y
Pebbles And Piaget Early Learning Walnut Grove,Langley,778-919-3797,,"9451 202Nd St, Langley, BC V1M 3Y9",,,,,,Y
Peregrine House School,Langley,778-378-0551,,"20381 66 Ave, Langley, BC V2Y 1P3",,,,,,Y
Piggy Ooo's Daycare Centre,Langley,604-562-8985,,"5700 Langley Bypass, Langley, BC V3A 8L7",,,,,,Y
Pinetree Childcare Centre - Willoughby,Langley,778-321-7819,,"7876 211B St, Langley, BC V2Y 0H5",,,,,,Y
Quality Fun Family Day Care,Langley,604-888-2896,,"21188 93Rd Ave, Langley, BC V1M 2B6",,,,,,Y
Rainbow Unicorn Childcare Center,Langley,236-863-7525,,"20723 90A Ave, Langley, BC V1M 2R2",Y,Y,Y,Y,,Y
Rainforest Learning Centre Inc. – Langley,Langley,604-514-1566,,"5100 206 St, Langley, BC V3A 2E5",,,,,,Y
Rock N Tots Daycare,Langley,604-530-9644,,"20216 53 Ave, Langley, BC V3A 3V1",,,,,,Y
Royal Academy Langley,Langley,778-233-8811,,"6656 Glover Rd, Langley, BC V2Y 0W9",,,,,,Y
Run And Have Fun Daycare,Langley,604-888-9046,,"9536 215A St, Langley, BC V1M 2C6",,,,,,Y
Secret Heart Academy,Langley,604-427-1166,,"110&112-5769 201A St, Langley, BC V3A 8H9",,,,,,Y
Shiiny Nest Daycare,Langley,778-255-5101,,"19638 74A Ave, Langley, BC V2Y 3R8",,,,,,
Silly Crocodile Childcare Inc.,Langley,604-808-7035,,"2229 Willoughby Way, Langley, BC V2Y 1B8",,,,,,Y
Simply Kids Childcare Centre,Langley,604-593-2266,,"20211 66Th Ave, Langley, BC V2Y 0L4",,,,,,Y
Simply Kids Early Learning Society,Langley,604-593-2266,,"20611 80 Ave, Langley, BC V2Y 2A6",,,,,,Y
Smilestones Junior Kindergarten - Langley,Langley,604-888-8085,,"150-8661 201 St, Langley, BC V2Y 0G9",,,,,,Y
Smiling Buds Daycare,Langley,431-336-8911,,"4992 200 St, Langley, BC V3A 1L8",,,,,,Y
Snuggles N Giggles Childcare Centre Ltd,Langley,778-683-1369,,"1-20343 98 Ave, Langley, BC V1M 3E2",,,,,,Y
Somewhere Special,Langley,778-839-7627,,"20982 77A Ave, Langley, BC V2Y 0L8",Y,Y,,,,Y
"Sonshine Street Childcare Centre, Aldergrove",Langley,604-309-7364,,"24687 56Th Ave, Langley, BC V2Z 1B9",,,,,,Y
Sportsplex Daycare,Langley,604-882-1611,,"100 20165 91A Ave, Langley, BC V1M 3A2",,,,,,Y
St. Joseph's Church Preschool & Out Of School Care Program,Langley,604-530-4288,,"20244  32Nd Ave, Langley, BC V2Z 2E1",,,,,,Y
Strawberry Patch Child Care Centre Inc.,Langley,604-514-3150,,"23422  47 Ave, Langley, BC V2Z 2S3",,,,,,Y
Strongsteps Children's Learning Centre,Langley,778-960-2273,,"200-8912 202 St, Langley, BC V1M 4A7",Y,Y,Y,,,Y
Sunbeam Preschool & Childcare,Langley,778-777-2054,,"21277 56 Ave, Langley, BC V2Y 1M3",,,,,,Y
Sunflower Montessori,Langley,604-513-0070,,"21150  85Th Ave, Langley, BC V1M 2M4",Y,Y,Y,Y,,Y
Sunnyside Brookswood Family Daycare,Langley,604-533-5132,,"20305 37A Ave, Langley, BC V3A 2S9",Y,Y,,,,Y
Sunshine And Smile Childcare Centre,Langley,672-985-4250,,"4770 205 St, Langley, BC V3A 7J5",,,,,,Y
Swan Childcare,Langley,778-706-2000,,"20040 40A Ave, Langley, BC V3A 2Y5",,,,,,Y
Taylin Child Care - Fort Langley,Langley,604-349-4066,,"9160 Church St, Langley, BC V1M 2R6",,,,,,Y
The Curious Moon In Home Multi-Age Child Care,Langley,778-549-1902,,"8026 211B St, Langley, BC V2Y 0K3",,,,,,Y
The King's Early Learning Centre,Langley,604-888-0969,,"21783 76B Ave, Langley, BC V2Y 2S5",,,,,,Y
Tiny Hoppers Early Learning Langley City Centre,Langley,778-689-7799,,"20570 56 Ave, Langley, BC V3A 3Z1",,,,,,Y
Tiny Hoppers Early Learning Willoughby Centre,Langley,778-705-0569,,"A230-20689 Willoughby Town Centre Dr, Langley, BC V2Y 0X7",,,,,,Y
Tiny Seeds Childcare Centre,Langley,604-600-9094,,"19817 75 Ave, Langley, BC V2Y 5K3",Y,Y,,,,Y
Tiny Timbers Children's Academy Ltd.,Langley,877-657-1741,,"6323 197 St, Langley, BC V2Y 1K8",,,,,,Y
Top Tier Daycare Ltd,Langley,604-612-1593,,"4492 203 St, Langley, BC V3A 6P7",,,,,,Y
Top Tier School Age Care,Langley,604-612-1593,,"21713 50 Ave, Langley, BC V3A 3T2",,,,,,Y
Tumble Kids Preschool,Langley,604-455-8908,,"7888 200 St, Langley, BC V2Y 3J4",,,,,,Y
Twinkle Kids Academy,Langley,778-990-0316,,"21084 83A Ave, Langley, BC V2Y 0B8",,,,,,Y
Weegrow Early Learning Centre,Langley,604-989-8077,,"20505 76A Ave, Langley, BC V2Y 3T1",Y,,,,,Y
Willoughby Early Learning Daycare Corp.,Langley,604-779-1783,,"21155 80A Ave, Langley, BC V2Y 0K3",,,,,,Y
Willoughby Heights Little Star Daycare,Langley,604-510-9367,,"19906 73A Ave, Langley, BC V2Y 3J3",Y,Y,,,,Y
Willowbrae Academy Langley,Langley,604-618-6553,,"100-8063 199 St, Langley, BC V2Y 0E2",Y,Y,,,,Y
Willowbrook Montessori Child Care Centre,Langley,604-533-5469,,"20317 67Th Ave, Langley, BC V2Y 1P6",,,,,,Y
Willowbrook Montessori Daycare - Latimer Campus,Langley,604-753-7276,,"8157 198A Street, Langley, BC V2Y 1Y6",,,,,,Y
Wind And Tide - Dorothy Peacock,Langley,604-575-0549,,"20292 91A Ave, Langley, BC V1M 2G2",,,,,,Y
Wind And Tide - North Brookswood,Langley,604-575-0549,,"20719 48 Ave, Langley, BC V3A 3L7",,,,,,Y
Wind And Tide - Walnut Grove,Langley,604-575-0549,,"21015 96 Ave, Langley, BC V1M 2Z3",,,,,,Y
Wind And Tide Child Development Centre - Matheson House,Langley,604-575-0549,,"19893 64 Ave, Langley, BC V2Y 1G9",,,,,,Y
